question;option1;option2;option3;option4;answer;type;topic;image
Залізні знаряддя праці та зброю на українських землях першими почали виготовляти племена;скіфів.;сарматів.;трипільців.;кіммерійців. ⭐️;кіммерійців. ⭐️;text_choice;Стародавня історія України;
Яка назва слов'янських племен, що трапляється в письмових джерелах, найдавніша?;венеди ⭐️;анти;поляни;руси;венеди ⭐️;text_choice;Стародавня історія України;
Кіммерійські племена;здійснювали грабіжницькі набіги. ⭐️;засновували торговельні факторії.;зводили систему прикордонних укріплень – валів.;освоювали нові території для розвитку землеробства.;здійснювали грабіжницькі набіги. ⭐️;text_choice;Стародавня історія України;
Трипільська культура – це археологічна культура епохи;палеоліту.;мезоліту.;неоліту.;енеоліту. ⭐️;енеоліту. ⭐️;text_choice;Стародавня історія України;
Який вид занять привласнювального господарства набув поширення в мезоліті;скотарство;рибальство ⭐️;збиральництво;землеробство;рибальство ⭐️;text_choice;Стародавня історія України;
На допомогу якої держави покладався гетьман Петро Дорошенко в боротьбі за збереження єдності України?;Османської імперії ⭐️;Трансільванського князівства;Московського царства;Шведського королівства;Османської імперії ⭐️;text_choice;Козацька Україна;
Що було характерним для періоду Руїни?;всеохопна криза та занепад Речі Посполитої, спричинені Національно-визвольною війною українського народу під проводом Б. Хмельницького;остаточна ліквідація інституту гетьманства, решток української автономії та повна інтеграція українських земель у Російську імперію ⭐️;форсований наступ на автономні права Гетьманщини царського уряду внаслідок переходу гетьмана І. Мазепи на бік шведського короля;остаточна ліквідація інституту гетьманства, решток української автономії та повна інтеграція українських земель у Російську імперію;остаточна ліквідація інституту гетьманства, решток української автономії та повна інтеграція українських земель у Російську імперію ⭐️;text_choice;Козацька Україна;
Що стало наслідком Чигиринських походів турецько-татарської армії?;повстання під проводом полковника С. Палія;створення найманого кінного війська «компанійців»;здійснення гетьманом І. Самойловичем «Великого згону» ⭐️;розпад Гетьманщини на дві частини – Правобережну й Лівобережну;здійснення гетьманом І. Самойловичем «Великого згону» ⭐️;text_choice;Козацька Україна;
У якому році укладено договір, за яким турецький султан визнав зверхність московського царя над Лівобережною Україною та Запорозькою Січчю?;1654 р.;1656 р.;1681 р. ⭐️;1686 р.;1681 р. ⭐️;text_choice;Козацька Україна;
Відповідно до умов Андрусівського перемир’я (1667 р.) Запорозька Січ підпорядковувалась;турецькому султану та московському царю.;кримському хану та польському королю.;московському царю та польському королю. ⭐️;турецькому султану та кримському хану.;московському царю та польському королю. ⭐️;text_choice;Козацька Україна;
Розгляньте репродукцію триптиха Ф. Кричевського та виконайте завдання. Автор художніми засобами відобразив трагізм подій;Першої світової війни (1914–1918 рр.). ⭐️;масового голоду (1921–1923 рр.).;акції «пацифікації» (1930 р.).;насильницької колективізації (1929–1937 рр.).;Першої світової війни (1914–1918 рр.). ⭐️;text_choice;Художні роботи;images/culture1.jpeg
Укажіть спільну ознаку картин, репродукції яких наведено.;Обидві картини створені українськими живописцями.;Обидва портрети належать до мистецької течії імпресіонізму. ⭐️;На обох картинах зображено портрети українських поетес.;Обидва полотна належать пензлю одного художника.;Обидва портрети належать до мистецької течії імпресіонізму. ⭐️;text_choice;Художні роботи;images/culture2.jpeg
Хто є автором картини, репродукцію якої зображено на фото?;М. Пимоненко;В. Штернберг ⭐️;Т. Шевченко;В. Тропінін;В. Штернберг ⭐️;text_choice;Художні роботи;images/culture3.jpeg
Укажіть репродукцію картини роботи К. Білокур.;images/culture4_a.jpeg;images/culture4_b.jpeg;images/culture4_c.jpeg;images/culture4_d.jpeg;images/culture4_c.jpeg;image_choice;Художні роботи;
На фото зображено автопортрети Тараса Шевченка, написані в різний час. Укажіть автопортрет, створений митцем одразу після викупу з кріпацтва.;А;Б;В;Г;Г;single_click;Художні роботи;images/culture5.jpeg
